Phase,Algorithm,Embedding,Accuracy,Precision,Recall,F1-Score,MCC,G-Mean,Class_A_Acc,Class_AU_Acc,Class_F_Acc,Class_FT_Acc,Class_LF_Acc,Class_LL_Acc,Class_M_Acc,Class_O_Acc,Class_P_Acc,Class_PE_Acc,Class_R_Acc,Class_SC_Acc,Class_SE_Acc,Class_US_Acc
Phase 2-A (Classical Flat),LinearSVC,TF-IDF,0.9001416430594901,0.6417953219104113,0.49691883301444745,0.536724976767517,0.614830024039096,0.3170227589989447,0.6086956521739131,0.8461538461538461,0.9577114427860697,0.0,0.5,0.4,0.2857142857142857,0.4166666666666667,0.5,0.38095238095238093,0.2,0.5,0.673469387755102,0.6875
Phase 2-A (Classical Flat),LR,TF-IDF,0.8307365439093485,0.44819946413204803,0.5718469189547968,0.48038829221163254,0.5272435688534642,0.37690184370928037,0.6521739130434783,0.8461538461538461,0.8615257048092869,0.0,0.5,0.5,0.2857142857142857,0.5833333333333334,0.5833333333333334,0.5714285714285714,0.7,0.5,0.7346938775510204,0.6875
Phase 2-A (Classical Flat),XGBoost,TF-IDF,0.8909348441926346,0.5731449961135412,0.3167800856760947,0.38391963649512245,0.505700661013692,0.09490620501874639,0.391304347826087,0.8076923076923077,0.9817578772802653,0.0,0.0,0.2,0.0,0.08333333333333333,0.2916666666666667,0.23809523809523808,0.2,0.5,0.42857142857142855,0.3125
Phase 2-A (Classical Flat),XGBoost,GloVe,0.8909348441926346,0.5731449961135412,0.3167800856760947,0.38391963649512245,0.505700661013692,0.09490620501874639,0.391304347826087,0.8076923076923077,0.9817578772802653,0.0,0.0,0.2,0.0,0.08333333333333333,0.2916666666666667,0.23809523809523808,0.2,0.5,0.42857142857142855,0.3125
Phase 2-A (Classical Flat),KNN,TF-IDF,0.8753541076487252,0.5469157692104418,0.2519387986741216,0.3233480460444675,0.40765607564566053,0.11255845646217326,0.2608695652173913,0.2692307692307692,0.9825870646766169,0.0,0.25,0.3,0.14285714285714285,0.08333333333333333,0.2916666666666667,0.19047619047619047,0.2,0.0,0.30612244897959184,0.25
Phase 2-A (Classical Flat),RF,TF-IDF,0.8696883852691218,0.5981427530954114,0.1876772442937569,0.24252928681314984,0.32095567127116775,0.03738621727443515,0.043478260869565216,0.4230769230769231,0.9950248756218906,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.047619047619047616,0.1,0.5,0.12244897959183673,0.1875
Phase 2-A (Classical Flat),KNN,GloVe,0.8753541076487252,0.5469157692104418,0.2519387986741216,0.3233480460444675,0.40765607564566053,0.11255845646217326,0.2608695652173913,0.2692307692307692,0.9825870646766169,0.0,0.25,0.3,0.14285714285714285,0.08333333333333333,0.2916666666666667,0.19047619047619047,0.2,0.0,0.30612244897959184,0.25
Phase 2-A (Classical Flat),RF,GloVe,0.8696883852691218,0.5981427530954114,0.1876772442937569,0.24252928681314984,0.32095567127116775,0.03738621727443515,0.043478260869565216,0.4230769230769231,0.9950248756218906,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.047619047619047616,0.1,0.5,0.12244897959183673,0.1875
Phase 2-A (Classical Flat),RF,Word2Vec,0.8696883852691218,0.5981427530954114,0.1876772442937569,0.24252928681314984,0.32095567127116775,0.03738621727443515,0.043478260869565216,0.4230769230769231,0.9950248756218906,0.0,0.0,0.0,0.0,0.08333333333333333,0.125,0.047619047619047616,0.1,0.5,0.12244897959183673,0.1875
Phase 2-A (Classical Flat),LinearSVC,Word2Vec,0.9001416430594901,0.6417953219104113,0.49691883301444745,0.536724976767517,0.614830024039096,0.3170227589989447,0.6086956521739131,0.8461538461538461,0.9577114427860697,0.0,0.5,0.4,0.2857142857142857,0.4166666666666667,0.5,0.38095238095238093,0.2,0.5,0.673469387755102,0.6875
Phase 2-B (Deep Flat),XGBoost,MPNet,0.8817280453257791,0.4871910289820738,0.23399805590455047,0.2957077374426718,0.4305027343313036,0.05046006740409774,0.08695652173913043,0.23076923076923078,0.9900497512437811,0.0,0.0,0.0,0.0,0.08333333333333333,0.375,0.19047619047619047,0.1,0.5,0.46938775510204084,0.25
Phase 2-B (Deep Flat),XGBoost,BERT,0.8852691218130312,0.48020923216734446,0.25132884017205753,0.30637280828836316,0.4594933341539726,0.03915072675863206,0.13043478260869565,0.4230769230769231,0.988391376451078,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.09523809523809523,0.1,0.5,0.4897959183673469,0.375
Phase 2-B (Deep Flat),XGBoost,SBERT,0.8817280453257791,0.5544296741350919,0.23226329880122806,0.2993293343672107,0.42465460600936067,0.05163821053567611,0.08695652173913043,0.15384615384615385,0.9933665008291874,0.0,0.0,0.0,0.0,0.16666666666666666,0.375,0.23809523809523808,0.1,0.5,0.3877551020408163,0.25
Phase 2-B (Deep Flat),KNN,MPNet,0.8824362606232294,0.38999507353018253,0.27886359510371217,0.31557208700142503,0.4712988600672303,0.044038062005542236,0.21739130434782608,0.07692307692307693,0.9767827529021559,0.0,0.0,0.0,0.0,0.4166666666666667,0.5,0.2857142857142857,0.4,0.0,0.5306122448979592,0.5
Phase 2-B (Deep Flat),KNN,SBERT,0.8845609065155807,0.500658293761742,0.267490023769656,0.31846312577725416,0.4752722168095106,0.05759528371845004,0.13043478260869565,0.11538461538461539,0.9809286898839138,0.0,0.0,0.1,0.0,0.5,0.5416666666666666,0.3333333333333333,0.2,0.0,0.5306122448979592,0.3125
Phase 2-B (Deep Flat),KNN,BERT,0.8796033994334278,0.4174895008585123,0.2372174982383699,0.2860463296158002,0.43794419250716016,0.05146350632800722,0.08695652173913043,0.2692307692307692,0.9842454394693201,0.0,0.0,0.1,0.0,0.4166666666666667,0.4583333333333333,0.14285714285714285,0.1,0.0,0.3877551020408163,0.375
Phase 2-B (Deep Flat),LinearSVC,MPNet,0.8519830028328612,0.4893902340123501,0.6106906385076868,0.5300301845408987,0.548024759218849,0.5784969405020438,0.4782608695652174,0.6153846153846154,0.8905472636815921,0.5,0.25,0.4,0.42857142857142855,0.5833333333333334,0.75,0.7142857142857143,0.6,1.0,0.7142857142857143,0.625
Phase 2-B (Deep Flat),LinearSVC,SBERT,0.8420679886685553,0.4005217295886424,0.5407500919765186,0.45279469799881195,0.5222207233520846,0.35640990470815553,0.43478260869565216,0.6538461538461539,0.8805970149253731,0.0,0.25,0.5,0.5714285714285714,0.5833333333333334,0.6666666666666666,0.5714285714285714,0.6,0.5,0.7959183673469388,0.5625
Phase 2-B (Deep Flat),RF,MPNet,0.8576487252124646,0.40662282043438364,0.12855996657588192,0.15154336781184988,0.15655030563396655,0.010522696333993659,0.0,0.07692307692307693,0.9983416252072969,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.1,0.5,0.02040816326530612,0.0625
