Dataset,Algorithm,Vectorization,Phase 2-A (Flat),Phase 4-A (Standard 2-Stage),Phase 4-A-New (Self-Correcting)
PROMISE,LinearSVC,TF-IDF,0.7636451044281822,0.7512899951925645,0.7564339511778216
PROMISE,RF,TF-IDF,0.5861439025693072,0.6563057528978153,0.6243309652262166
PROMISE,LR,TF-IDF,0.7316970247315849,0.7327279525666365,0.7172533518508627
PROMISE,NB,TF-IDF,0.6470541103573527,0.65839965813792,0.6697452059184873
PROMISE,XGBoost,TF-IDF,0.6522461406976122,0.6202286202660114,0.6398215907269911
PROMISE,KNN,TF-IDF,0.6996581379199829,0.698621868489931,0.6903584210245179
PROMISE,LinearSVC,SBERT,0.7595481010629774,0.7337054644516853,0.7451097697772555
PROMISE,RF,SBERT,0.5448693980022435,0.7017627263500881,0.596479888894824
PROMISE,LR,SBERT,0.6965706960098286,0.7213236472410662,0.7069120239303456
PROMISE,NB,SBERT,0.7131242989156561,0.7203087441910154,0.7254847497462743
PROMISE,XGBoost,SBERT,0.7224079910261205,0.6996474547299825,0.7203140857860156
PROMISE,KNN,SBERT,0.7172106190908606,0.7316756583515838,0.7110250520805511
PROMISE,LinearSVC,BERT,0.7347898082367396,0.7048555098552428,0.7120773462956038
PROMISE,RF,BERT,0.5345440948667273,0.6635703220981786,0.5768708936488436
PROMISE,LR,BERT,0.7482239196624112,0.7399551306019978,0.7348004914267401
PROMISE,NB,BERT,0.7048822178302441,0.6986592596549329,0.7048555098552427
PROMISE,XGBoost,BERT,0.7131242989156563,0.6790342396239517,0.7068906575503444
PROMISE,KNN,BERT,0.6800651674590033,0.6821216815341061,0.6655947866032796
PROMISE,LinearSVC,MPNet,0.8018321670850916,0.7946103306447305,0.804919608995246
PROMISE,RF,MPNet,0.5789274077239464,0.7099994658404999,0.6068051920303403
PROMISE,LR,MPNet,0.7347684418567384,0.7647080818332354,0.7357940280967897
PROMISE,NB,MPNet,0.7358421024517922,0.7327332941616367,0.7368570055018429
PROMISE,XGBoost,MPNet,0.7368356391218418,0.7327279525666365,0.7275572886063779
PROMISE,KNN,MPNet,0.7213183056460659,0.7295870947064793,0.7161743496608087
PROMISE,LinearSVC,GloVe,0.722359916671118,0.698621868489931,0.7058864376902942
PROMISE,RF,GloVe,0.52940013888147,0.5871855135943592,0.5489984509374499
PROMISE,LR,GloVe,0.60679985043534,0.6522087495326104,0.6274931894663747
PROMISE,NB,GloVe,0.5779498958388974,0.5500774531275038,0.5614230009080712
PROMISE,XGBoost,GloVe,0.671839111158592,0.6501468938625072,0.6656108113882806
PROMISE,KNN,GloVe,0.6078147534853907,0.6191656428609582,0.5933764221996689
PROMISE,LinearSVC,Word2Vec,0.3921852465146093,0.33441589658672083,0.3901287324395064
PROMISE,RF,Word2Vec,0.4716147641685807,0.36533839004326696,0.4489129854174457
PROMISE,LR,Word2Vec,0.08255969232412798,0.2993109342449655,0.0773997115538699
PROMISE,NB,Word2Vec,0.06501255274825062,0.3271940601463597,0.3271940601463597
PROMISE,XGBoost,Word2Vec,0.44786603279739323,0.4199561989209978,0.432380748891619
PROMISE,KNN,Word2Vec,0.39526734682976333,0.28281608888414084,0.3674109289033705
FNFC,LinearSVC,TF-IDF,0.901416430594901,0.8767705382436262,0.8726628895184136
FNFC,RF,TF-IDF,0.8662889518413598,0.8706798866855525,0.8733711048158639
FNFC,LR,TF-IDF,0.8341359773371104,0.8586402266288953,0.7862606232294618
FNFC,NB,TF-IDF,0.8152974504249292,0.6763456090651558,0.7950424929178471
FNFC,XGBoost,TF-IDF,0.8787535410764873,0.8609065155807365,0.8464589235127479
FNFC,KNN,TF-IDF,0.8786118980169972,0.8672804532577902,0.8759206798866856
FNFC,LinearSVC,SBERT,0.8515580736543911,0.7978753541076486,0.751558073654391
FNFC,RF,SBERT,0.8607648725212466,0.8668555240793202,0.8655807365439093
FNFC,LR,SBERT,0.6410764872521246,0.7902266288951842,0.6504249291784703
FNFC,NB,SBERT,0.743342776203966,0.7706798866855524,0.7994334277620397
FNFC,XGBoost,SBERT,0.8885269121813032,0.8791784702549575,0.8815864022662889
FNFC,KNN,SBERT,0.8808781869688385,0.8770538243626061,0.8773371104815864
FNFC,LinearSVC,BERT,0.8239376770538243,0.7817280453257791,0.7235127478753541
FNFC,RF,BERT,0.8611898016997166,0.8660056657223796,0.8648725212464589
FNFC,LR,BERT,0.7436260623229463,0.7869688385269122,0.7337110481586402
FNFC,NB,BERT,0.6902266288951842,0.7284702549575071,0.7518413597733711
FNFC,XGBoost,BERT,0.8868271954674221,0.8726628895184136,0.8763456090651557
FNFC,KNN,BERT,0.8742209631728045,0.8624645892351275,0.8638810198300284
FNFC,LinearSVC,MPNet,0.8580736543909347,0.8192634560906515,0.7790368271954673
FNFC,RF,MPNet,0.8604815864022664,0.8674220963172804,0.8660056657223796
FNFC,LR,MPNet,0.661614730878187,0.811756373937677,0.6703966005665722
FNFC,NB,MPNet,0.7172804532577903,0.7689801699716714,0.7991501416430594
FNFC,XGBoost,MPNet,0.8912181303116148,0.88356940509915,0.8827195467422098
FNFC,KNN,MPNet,0.8821529745042491,0.879886685552408,0.8824362606232293
FNFC,LinearSVC,GloVe,0.8144475920679888,0.7679886685552408,0.6978753541076488
FNFC,RF,GloVe,0.8610481586402265,0.861756373937677,0.8614730878186968
FNFC,LR,GloVe,0.58342776203966,0.7606232294617564,0.5990084985835694
FNFC,NB,GloVe,0.5181303116147309,0.6774787535410765,0.6845609065155808
FNFC,XGBoost,GloVe,0.8777620396600566,0.8630311614730877,0.8660056657223796
FNFC,KNN,GloVe,0.8635977337110482,0.8582152974504249,0.8599150141643059
FNFC,LinearSVC,Word2Vec,0.8281869688385269,0.5876770538243626,0.608498583569405
FNFC,RF,Word2Vec,0.8610481586402265,0.8570821529745043,0.8586402266288953
FNFC,LR,Word2Vec,0.05155807365439093,0.5342776203966005,0.041784702549575
FNFC,NB,Word2Vec,0.017705382436260624,0.32677053824362606,0.326770538243626
FNFC,XGBoost,Word2Vec,0.836827195467422,0.8052407932011331,0.7971671388101983
FNFC,KNN,Word2Vec,0.8468838526912181,0.8284702549575071,0.8352691218130313
