Dataset,Algorithm,Vectorization,Phase 4-2C-NEW (Adaptive Self-Correcting)
PROMISE,LinearSVC,TF-IDF,0.7574819401444789
PROMISE,RF,TF-IDF,0.5882352941176471
PROMISE,LR,TF-IDF,0.7533539731682146
PROMISE,NB,TF-IDF,0.674922600619195
PROMISE,XGBoost,TF-IDF,0.6491228070175438
PROMISE,KNN,TF-IDF,0.6862745098039215
PROMISE,LinearSVC,SBERT,0.7523219814241487
PROMISE,RF,SBERT,0.6398348813209495
PROMISE,LR,SBERT,0.7533539731682147
PROMISE,NB,SBERT,0.7285861713106295
PROMISE,XGBoost,SBERT,0.7162022703818369
PROMISE,KNN,SBERT,0.7017543859649122
PROMISE,LinearSVC,BERT,0.740970072239422
PROMISE,RF,BERT,0.6191950464396285
PROMISE,LR,BERT,0.7574819401444789
PROMISE,NB,BERT,0.7131062951496387
PROMISE,XGBoost,BERT,0.695562435500516
PROMISE,KNN,BERT,0.6821465428276574
PROMISE,LinearSVC,MPNet,0.7997936016511868
PROMISE,RF,MPNet,0.6604747162022703
PROMISE,LR,MPNet,0.7946336429308566
PROMISE,NB,MPNet,0.7461300309597524
PROMISE,XGBoost,MPNet,0.7420020639834881
PROMISE,KNN,MPNet,0.7131062951496389
PROMISE,LinearSVC,GloVe,0.7131062951496387
PROMISE,RF,GloVe,0.6140350877192983
PROMISE,LR,GloVe,0.6873065015479876
PROMISE,NB,GloVe,0.5737874097007224
PROMISE,XGBoost,GloVe,0.6584107327141383
PROMISE,KNN,GloVe,0.5954592363261094
PROMISE,LinearSVC,Word2Vec,0.40970072239422084
PROMISE,RF,Word2Vec,0.4809081527347781
PROMISE,LR,Word2Vec,0.3436532507739938
PROMISE,NB,Word2Vec,0.31991744066047473
PROMISE,XGBoost,Word2Vec,0.45201238390092874
PROMISE,KNN,Word2Vec,0.42105263157894735
FNFC,LinearSVC,TF-IDF,0.901558450843317
FNFC,RF,TF-IDF,0.8643073076387476
FNFC,LR,TF-IDF,0.8879612582044555
FNFC,NB,TF-IDF,0.8225227638921035
FNFC,XGBoost,TF-IDF,0.8920679843383411
FNFC,KNN,TF-IDF,0.8770536790106161
FNFC,LinearSVC,SBERT,0.8661489282648988
FNFC,RF,SBERT,0.8660058810056229
FNFC,LR,SBERT,0.736404522483936
FNFC,NB,SBERT,0.8118988118471776
FNFC,XGBoost,SBERT,0.8873944853446066
FNFC,KNN,SBERT,0.8825781798105855
FNFC,LinearSVC,BERT,0.8478759498019063
FNFC,RF,BERT,0.8641642001997245
FNFC,LR,BERT,0.8229466098521708
FNFC,NB,BERT,0.7671403655293778
FNFC,XGBoost,BERT,0.8818702854433736
FNFC,KNN,BERT,0.8774787887453762
FNFC,LinearSVC,MPNet,0.8754957457131258
FNFC,RF,MPNet,0.8677062597649162
FNFC,LR,MPNet,0.825072218705719
FNFC,NB,MPNet,0.8097734437126186
FNFC,XGBoost,MPNet,0.8913603908698656
FNFC,KNN,MPNet,0.8838529072173932
FNFC,LinearSVC,GloVe,0.8396611133999475
FNFC,RF,GloVe,0.8594901595882646
FNFC,LR,GloVe,0.7618996724175636
FNFC,NB,GloVe,0.7038244109034628
FNFC,XGBoost,GloVe,0.8756377097369507
FNFC,KNN,GloVe,0.8618981318160334
FNFC,LinearSVC,Word2Vec,0.8536827537963491
FNFC,RF,Word2Vec,0.8592068935178349
FNFC,LR,Word2Vec,0.3203945071296752
FNFC,NB,Word2Vec,0.33257621193284953
FNFC,XGBoost,Word2Vec,0.8524081467490358
FNFC,KNN,Word2Vec,0.853966019866779
