Phase,Dataset,Algorithm,Vectorization,Average
Phase 4-A-New (Self-Correcting),PROMISE,LinearSVC,TF-IDF,0.7564339511778216
Phase 4-A-New (Self-Correcting),PROMISE,RF,TF-IDF,0.6243309652262166
Phase 4-A-New (Self-Correcting),PROMISE,LR,TF-IDF,0.7172533518508627
Phase 4-A-New (Self-Correcting),PROMISE,NB,TF-IDF,0.6697452059184873
Phase 4-A-New (Self-Correcting),PROMISE,XGBoost,TF-IDF,0.6398215907269911
Phase 4-A-New (Self-Correcting),PROMISE,KNN,TF-IDF,0.6903584210245179
Phase 4-A-New (Self-Correcting),PROMISE,LinearSVC,SBERT,0.7451097697772555
Phase 4-A-New (Self-Correcting),PROMISE,RF,SBERT,0.596479888894824
Phase 4-A-New (Self-Correcting),PROMISE,LR,SBERT,0.7069120239303456
Phase 4-A-New (Self-Correcting),PROMISE,NB,SBERT,0.7254847497462743
Phase 4-A-New (Self-Correcting),PROMISE,XGBoost,SBERT,0.7203140857860156
Phase 4-A-New (Self-Correcting),PROMISE,KNN,SBERT,0.7110250520805511
Phase 4-A-New (Self-Correcting),PROMISE,LinearSVC,BERT,0.7120773462956038
Phase 4-A-New (Self-Correcting),PROMISE,RF,BERT,0.5768708936488436
Phase 4-A-New (Self-Correcting),PROMISE,LR,BERT,0.7348004914267401
Phase 4-A-New (Self-Correcting),PROMISE,NB,BERT,0.7048555098552427
Phase 4-A-New (Self-Correcting),PROMISE,XGBoost,BERT,0.7068906575503444
Phase 4-A-New (Self-Correcting),PROMISE,KNN,BERT,0.6655947866032796
Phase 4-A-New (Self-Correcting),PROMISE,LinearSVC,MPNet,0.804919608995246
Phase 4-A-New (Self-Correcting),PROMISE,RF,MPNet,0.6068051920303403
Phase 4-A-New (Self-Correcting),PROMISE,LR,MPNet,0.7357940280967897
Phase 4-A-New (Self-Correcting),PROMISE,NB,MPNet,0.7368570055018429
Phase 4-A-New (Self-Correcting),PROMISE,XGBoost,MPNet,0.7275572886063779
Phase 4-A-New (Self-Correcting),PROMISE,KNN,MPNet,0.7161743496608087
Phase 4-A-New (Self-Correcting),PROMISE,LinearSVC,GloVe,0.7058864376902942
Phase 4-A-New (Self-Correcting),PROMISE,RF,GloVe,0.5489984509374499
Phase 4-A-New (Self-Correcting),PROMISE,LR,GloVe,0.6274931894663747
Phase 4-A-New (Self-Correcting),PROMISE,NB,GloVe,0.5614230009080712
Phase 4-A-New (Self-Correcting),PROMISE,XGBoost,GloVe,0.6656108113882806
Phase 4-A-New (Self-Correcting),PROMISE,KNN,GloVe,0.5933764221996689
Phase 4-A-New (Self-Correcting),PROMISE,LinearSVC,Word2Vec,0.39012873243950646
Phase 4-A-New (Self-Correcting),PROMISE,RF,Word2Vec,0.4489129854174457
Phase 4-A-New (Self-Correcting),PROMISE,LR,Word2Vec,0.07739971155386999
Phase 4-A-New (Self-Correcting),PROMISE,NB,Word2Vec,0.3271940601463597
Phase 4-A-New (Self-Correcting),PROMISE,XGBoost,Word2Vec,0.43238074889161904
Phase 4-A-New (Self-Correcting),PROMISE,KNN,Word2Vec,0.36741092890337057
Phase 4-A-New (Self-Correcting),FNFC,LinearSVC,TF-IDF,0.8726628895184136
Phase 4-A-New (Self-Correcting),FNFC,RF,TF-IDF,0.8733711048158639
Phase 4-A-New (Self-Correcting),FNFC,LR,TF-IDF,0.7862606232294618
Phase 4-A-New (Self-Correcting),FNFC,NB,TF-IDF,0.7950424929178471
Phase 4-A-New (Self-Correcting),FNFC,XGBoost,TF-IDF,0.8464589235127479
Phase 4-A-New (Self-Correcting),FNFC,KNN,TF-IDF,0.8759206798866856
Phase 4-A-New (Self-Correcting),FNFC,LinearSVC,SBERT,0.751558073654391
Phase 4-A-New (Self-Correcting),FNFC,RF,SBERT,0.8655807365439093
Phase 4-A-New (Self-Correcting),FNFC,LR,SBERT,0.6504249291784703
Phase 4-A-New (Self-Correcting),FNFC,NB,SBERT,0.7994334277620397
Phase 4-A-New (Self-Correcting),FNFC,XGBoost,SBERT,0.8815864022662889
Phase 4-A-New (Self-Correcting),FNFC,KNN,SBERT,0.8773371104815864
Phase 4-A-New (Self-Correcting),FNFC,LinearSVC,BERT,0.7235127478753541
Phase 4-A-New (Self-Correcting),FNFC,RF,BERT,0.8648725212464589
Phase 4-A-New (Self-Correcting),FNFC,LR,BERT,0.7337110481586402
Phase 4-A-New (Self-Correcting),FNFC,NB,BERT,0.7518413597733711
Phase 4-A-New (Self-Correcting),FNFC,XGBoost,BERT,0.8763456090651557
Phase 4-A-New (Self-Correcting),FNFC,KNN,BERT,0.8638810198300284
Phase 4-A-New (Self-Correcting),FNFC,LinearSVC,MPNet,0.7790368271954673
Phase 4-A-New (Self-Correcting),FNFC,RF,MPNet,0.8660056657223796
Phase 4-A-New (Self-Correcting),FNFC,LR,MPNet,0.6703966005665722
Phase 4-A-New (Self-Correcting),FNFC,NB,MPNet,0.7991501416430594
Phase 4-A-New (Self-Correcting),FNFC,XGBoost,MPNet,0.8827195467422098
Phase 4-A-New (Self-Correcting),FNFC,KNN,MPNet,0.8824362606232293
Phase 4-A-New (Self-Correcting),FNFC,LinearSVC,GloVe,0.6978753541076488
Phase 4-A-New (Self-Correcting),FNFC,RF,GloVe,0.8614730878186968
Phase 4-A-New (Self-Correcting),FNFC,LR,GloVe,0.5990084985835694
Phase 4-A-New (Self-Correcting),FNFC,NB,GloVe,0.6845609065155808
Phase 4-A-New (Self-Correcting),FNFC,XGBoost,GloVe,0.8660056657223796
Phase 4-A-New (Self-Correcting),FNFC,KNN,GloVe,0.8599150141643059
Phase 4-A-New (Self-Correcting),FNFC,LinearSVC,Word2Vec,0.608498583569405
Phase 4-A-New (Self-Correcting),FNFC,RF,Word2Vec,0.8586402266288953
Phase 4-A-New (Self-Correcting),FNFC,LR,Word2Vec,0.04178470254957507
Phase 4-A-New (Self-Correcting),FNFC,NB,Word2Vec,0.32677053824362606
Phase 4-A-New (Self-Correcting),FNFC,XGBoost,Word2Vec,0.7971671388101983
Phase 4-A-New (Self-Correcting),FNFC,KNN,Word2Vec,0.8352691218130313
