Dataset,Algorithm,Vectorization,Phase 4-B-New
PROMISE,CS-SVM (Linear),TF-IDF,0.7440628171572031
PROMISE,CS-SVM (RBF),TF-IDF,0.6708081833235404
PROMISE,CS-DT,TF-IDF,0.5737620853586881
PROMISE,CS-LR,TF-IDF,0.7172266438758613
PROMISE,CS-RF,TF-IDF,0.6325837295016291
PROMISE,MetaCost,TF-IDF,0.5500240371775013
PROMISE,AdaCost,TF-IDF,0.49944981571497243
PROMISE,CS-KNN,TF-IDF,0.6552961914427649
PROMISE,CS-SVM (Linear),SBERT,0.7595481010629774
PROMISE,CS-SVM (RBF),SBERT,0.7843063938892152
PROMISE,CS-DT,SBERT,0.47987821163399386
PROMISE,CS-LR,SBERT,0.7533518508626675
PROMISE,CS-RF,SBERT,0.6119491480155974
PROMISE,MetaCost,SBERT,0.45198974413759957
PROMISE,AdaCost,SBERT,0.43552694834677635
PROMISE,CS-KNN,SBERT,0.7069013407403452
PROMISE,CS-SVM (Linear),BERT,0.7120773462956038
PROMISE,CS-SVM (RBF),BERT,0.7709043320335451
PROMISE,CS-DT,BERT,0.5139682709256984
PROMISE,CS-LR,BERT,0.7368623470968432
PROMISE,CS-RF,BERT,0.608840339725442
PROMISE,MetaCost,BERT,0.4550718444527536
PROMISE,AdaCost,BERT,0.4675177608033758
PROMISE,CS-KNN,BERT,0.6501522354575077
PROMISE,CS-SVM (Linear),MPNet,0.8080337588804017
PROMISE,CS-SVM (RBF),MPNet,0.8121895197906095
PROMISE,CS-DT,MPNet,0.5170343464558517
PROMISE,CS-LR,MPNet,0.788440788419422
PROMISE,CS-RF,MPNet,0.6501148442925058
PROMISE,MetaCost,MPNet,0.4829229207841461
PROMISE,AdaCost,MPNet,0.47988889482399444
PROMISE,CS-KNN,MPNet,0.6934725709096736
PROMISE,CS-SVM (Linear),GloVe,0.7244645051012233
PROMISE,CS-SVM (RBF),GloVe,0.707980342930399
PROMISE,CS-DT,GloVe,0.49019283157950966
PROMISE,CS-LR,GloVe,0.7110677848405533
PROMISE,CS-RF,GloVe,0.595459644249773
PROMISE,MetaCost,GloVe,0.4107098979755355
PROMISE,AdaCost,GloVe,0.43751402168687575
PROMISE,CS-KNN,GloVe,0.5757918914587896
PROMISE,CS-SVM (Linear),Word2Vec,0.4468618129373431
PROMISE,CS-SVM (RBF),Word2Vec,0.4396506596869825
PROMISE,CS-DT,Word2Vec,0.3983868383099193
PROMISE,CS-LR,Word2Vec,0.4365365098018268
PROMISE,CS-RF,Word2Vec,0.4551252604027563
PROMISE,MetaCost,Word2Vec,0.3229902248811495
PROMISE,AdaCost,Word2Vec,0.2828160888841408
PROMISE,CS-KNN,Word2Vec,0.20330644730516534
FNFC,CS-SVM (Linear),TF-IDF,0.8902266288951841
FNFC,CS-SVM (RBF),TF-IDF,0.896742209631728
FNFC,CS-DT,TF-IDF,0.8413597733711049
FNFC,CS-LR,TF-IDF,0.8910764872521246
FNFC,CS-RF,TF-IDF,0.8712464589235127
FNFC,MetaCost,TF-IDF,0.8189801699716714
FNFC,AdaCost,TF-IDF,0.8573654390934845
FNFC,CS-KNN,TF-IDF,0.26345609065155806
FNFC,CS-SVM (Linear),SBERT,0.8303116147308781
FNFC,CS-SVM (RBF),SBERT,0.8984419263456089
FNFC,CS-DT,SBERT,0.8321529745042492
FNFC,CS-LR,SBERT,0.8266288951841361
FNFC,CS-RF,SBERT,0.8672804532577905
FNFC,MetaCost,SBERT,0.7337110481586403
FNFC,AdaCost,SBERT,0.7655807365439093
FNFC,CS-KNN,SBERT,0.7298866855524079
FNFC,CS-SVM (Linear),BERT,0.7956090651558074
FNFC,CS-SVM (RBF),BERT,0.884985835694051
FNFC,CS-DT,BERT,0.8351274787535411
FNFC,CS-LR,BERT,0.8077903682719547
FNFC,CS-RF,BERT,0.8655807365439093
FNFC,MetaCost,BERT,0.7110481586402266
FNFC,AdaCost,BERT,0.8218130311614731
FNFC,CS-KNN,BERT,0.6532577903682719
FNFC,CS-SVM (Linear),MPNet,0.8423512747875355
FNFC,CS-SVM (RBF),MPNet,0.8956090651558073
FNFC,CS-DT,MPNet,0.83342776203966
FNFC,CS-LR,MPNet,0.8313031161473088
FNFC,CS-RF,MPNet,0.8679886685552407
FNFC,MetaCost,MPNet,0.720113314447592
FNFC,AdaCost,MPNet,0.8259206798866856
FNFC,CS-KNN,MPNet,0.7189801699716714
FNFC,CS-SVM (Linear),GloVe,0.7957507082152974
FNFC,CS-SVM (RBF),GloVe,0.8413597733711049
FNFC,CS-DT,GloVe,0.8201133144475922
FNFC,CS-LR,GloVe,0.7902266288951841
FNFC,CS-RF,GloVe,0.8614730878186968
FNFC,MetaCost,GloVe,0.6760623229461757
FNFC,AdaCost,GloVe,0.810339943342776
FNFC,CS-KNN,GloVe,0.6662889518413598
FNFC,CS-SVM (Linear),Word2Vec,0.8332861189801701
FNFC,CS-SVM (RBF),Word2Vec,0.8541076487252125
FNFC,CS-DT,Word2Vec,0.8039660056657223
FNFC,CS-LR,Word2Vec,0.8218130311614731
FNFC,CS-RF,Word2Vec,0.858498583569405
FNFC,MetaCost,Word2Vec,0.641501416430595
FNFC,AdaCost,Word2Vec,0.658356940509915
FNFC,CS-KNN,Word2Vec,0.5415014164305949
