Dataset,Algorithm,Vectorization,Phase 4-2C (Adaptive 2-Stage)
PROMISE,LinearSVC,TF-IDF,0.7461300309597524
PROMISE,RF,TF-IDF,0.631578947368421
PROMISE,LR,TF-IDF,0.739938080495356
PROMISE,NB,TF-IDF,0.6646026831785345
PROMISE,XGBoost,TF-IDF,0.6326109391124871
PROMISE,KNN,TF-IDF,0.6852425180598555
PROMISE,LinearSVC,SBERT,0.7358101135190918
PROMISE,RF,SBERT,0.6934984520123839
PROMISE,LR,SBERT,0.7440660474716202
PROMISE,NB,SBERT,0.7223942208462333
PROMISE,XGBoost,SBERT,0.6965944272445821
PROMISE,KNN,SBERT,0.7213622291021671
PROMISE,LinearSVC,BERT,0.7265221878224973
PROMISE,RF,BERT,0.6687306501547988
PROMISE,LR,BERT,0.7378740970072238
PROMISE,NB,BERT,0.7038183694530443
PROMISE,XGBoost,BERT,0.6842105263157895
PROMISE,KNN,BERT,0.6893704850361196
PROMISE,LinearSVC,MPNet,0.7812177502579981
PROMISE,RF,MPNet,0.7275541795665634
PROMISE,LR,MPNet,0.7770897832817338
PROMISE,NB,MPNet,0.7378740970072238
PROMISE,XGBoost,MPNet,0.7389060887512899
PROMISE,KNN,MPNet,0.7327141382868937
PROMISE,LinearSVC,GloVe,0.7069143446852425
PROMISE,RF,GloVe,0.6068111455108359
PROMISE,LR,GloVe,0.6780185758513931
PROMISE,NB,GloVe,0.5583075335397317
PROMISE,XGBoost,GloVe,0.6439628482972136
PROMISE,KNN,GloVe,0.6181630546955624
PROMISE,LinearSVC,Word2Vec,0.4592363261093911
PROMISE,RF,Word2Vec,0.4530443756449949
PROMISE,LR,Word2Vec,0.4582043343653251
PROMISE,NB,Word2Vec,0.31991744066047473
PROMISE,XGBoost,Word2Vec,0.42930856553147567
PROMISE,KNN,Word2Vec,0.3364293085655315
FNFC,LinearSVC,TF-IDF,0.867847742350763
FNFC,RF,TF-IDF,0.8045340745552445
FNFC,LR,TF-IDF,0.8672816916478815
FNFC,NB,TF-IDF,0.6941952300810152
FNFC,XGBoost,TF-IDF,0.8679885629593896
FNFC,KNN,TF-IDF,0.8746463687600672
FNFC,LinearSVC,SBERT,0.7878206542429189
FNFC,RF,SBERT,0.8745053074324515
FNFC,LR,SBERT,0.7906536760257006
FNFC,NB,SBERT,0.7712474527417473
FNFC,XGBoost,SBERT,0.8800290860754535
FNFC,KNN,SBERT,0.8798868211528923
FNFC,LinearSVC,BERT,0.7798873386987188
FNFC,RF,BERT,0.8701138107344542
FNFC,LR,BERT,0.7745052231808054
FNFC,NB,BERT,0.7288961361352543
FNFC,XGBoost,BERT,0.8752135026983997
FNFC,KNN,BERT,0.8705380779527524
FNFC,LinearSVC,MPNet,0.814447604683573
FNFC,RF,MPNet,0.8740802578774387
FNFC,LR,MPNet,0.7936263750019107
FNFC,NB,MPNet,0.7689798196846268
FNFC,XGBoost,MPNet,0.8847026452489354
FNFC,KNN,MPNet,0.8813031515050413
FNFC,LinearSVC,GloVe,0.7647317313243889
FNFC,RF,GloVe,0.8596324846905733
FNFC,LR,GloVe,0.7485851440516593
FNFC,NB,GloVe,0.6769117270227406
FNFC,XGBoost,GloVe,0.8640238008493287
FNFC,KNN,GloVe,0.8616149259253508
FNFC,LinearSVC,Word2Vec,0.5739367773239824
FNFC,RF,Word2Vec,0.8478757090829173
FNFC,LR,Word2Vec,0.5521246279236675
FNFC,NB,Word2Vec,0.33257621193284953
FNFC,XGBoost,Word2Vec,0.8222386553052119
FNFC,KNN,Word2Vec,0.8512749019280749
